
Datum;Kl;NO;NO2;NOx;CO;CO2;PM10
2024-05-31;16:45:00;2.39877;10.2885;13.9538;0.394988;391.269;18.0295
2024-05-31;17:00:00;2.71461;10.7811;14.9291;0.360706;391.799;24.6568
2024-05-31;17:15:00;2.69266;13.3439;17.4583;0.432002;393.973;29.1908
2024-05-31;17:30:00;1.81155;10.0111;12.7791;0.332799;391.506;25.5016
2024-05-31;17:45:00;1.73;11.7619;14.4053;0.366025;394.605;39.3961
2024-05-31;18:00:00;2.24137;12.5478;15.9726;0.343599;390.672;37.511
2024-05-31;18:15:00;1.96383;9.87991;12.8806;0.385785;389.632;34.8624
2024-05-31;18:30:00;2.12649;11.0199;14.2691;0.472295;391.799;28.9106
2024-05-31;18:45:00;1.88491;9.98918;12.8693;0.447312;392.423;31.3416
2024-05-31;19:00:00;1.7158;9.51579;12.1375;0.382886;387.889;30.5656
2024-05-31;19:15:00;1.38874;10.882;13.004;0.469222;386.862;32.8151
2024-05-31;19:30:00;1.47626;11.4385;13.6942;0.533892;389.817;31.5574
2024-05-31;19:45:00;1.18317;10.1506;11.9585;0.585054;389.626;20.4563
2024-05-31;20:00:00;1.16577;10.6736;12.4548;0.871992;393.268;22.3663
2024-05-31;20:15:00;1.22184;8.22781;10.0948;0.749114;391.01;24.4103
2024-05-31;20:30:00;1.70528;11.323;13.9287;1.05685;395.028;28.1419
2024-05-31;20:45:00;1.3872;8.03212;10.1518;0.682334;389.773;26.1634
2024-05-31;21:00:00;1.40766;9.64996;11.8009;0.849826;392.062;25.2799
2024-05-31;21:15:00;1.28205;12.5184;14.4774;1.20851;396.994;21.4924
2024-05-31;21:30:00;1.12455;15.534;17.2523;1.58234;397.993;24.2592
2024-05-31;21:45:00;1.52799;12.7544;15.0892;1.11733;398.214;25.9479
2024-05-31;22:00:00;1.49374;15.4539;17.7364;2.3744;407.242;27.1389
2024-05-31;22:15:00;1.2334;14.9534;16.838;1.16153;398.812;27.2477
2024-05-31;22:30:00;1.11767;10.6043;12.3121;0.93212;399.571;26.4864
2024-05-31;22:45:00;1.60842;18.0177;20.4754;0.954725;405.304;27.5335
2024-05-31;23:00:00;2.23363;13.7309;17.1439;0.843956;404.315;29.0592
2024-05-31;23:15:00;1.16283;18.5568;20.3336;0.680581;404.469;27.1297
2024-05-31;23:30:00;2.80313;23.138;27.4212;0.976917;410.836;32.0887
2024-05-31;23:45:00;1.83762;19.0304;21.8383;0.68634;407.094;37.1357
2024-06-01;00:00:00;1.17301;19.9193;21.7116;0.733278;412.701;36.4877
2024-06-01;00:15:00;1.32164;17.4017;19.4211;0.752081;414.979;25.3825
2024-06-01;00:30:00;1.41071;8.33983;10.4954;0.389016;406.465;27.083
2024-06-01;00:45:00;1.02674;6.39762;7.96649;0.411567;403.74;24.1873
2024-06-01;01:00:00;1.3858;6.87292;8.99043;0.39062;403.657;18.7843
2024-06-01;01:15:00;1.3413;6.91296;8.96246;0.394624;404.938;20.4276
2024-06-01;01:30:00;1.14733;7.02627;8.77939;0.370346;404.232;26.9367
2024-06-01;01:45:00;1.03463;6.65078;8.2317;0.30547;405.081;25.0983
2024-06-01;02:00:00;1.25502;7.12339;9.04106;0.280058;407.272;24.0941
2024-06-01;02:15:00;1.14114;6.38424;8.1279;0.291602;407.37;21.3269
2024-06-01;02:30:00;1.2382;5.74371;7.63568;0.28741;406.389;20.987
2024-06-01;02:45:00;1.01048;5.12497;6.66898;0.31935;404.29;21.1309
2024-06-01;03:00:00;0.8727;4.23412;5.5676;0.338883;403.2;20.0718
2024-06-01;03:15:00;1.04467;7.40393;9.0002;0.355361;404.258;18.0229
2024-06-01;03:30:00;1.03737;4.46297;6.04807;0.306751;404.366;19.6917
2024-06-01;03:45:00;0.839295;3.87435;5.15679;0.272783;404.02;20.4184
2024-06-01;04:00:00;1.51069;7.00614;9.31447;0.243357;407.623;24.3983
2024-06-01;04:15:00;0.977808;4.93981;6.4339;0.215053;407.146;22.9838
2024-06-01;04:30:00;1.26374;5.31743;7.24842;0.233295;407.096;21.6146
2024-06-01;04:45:00;0.871161;5.23335;6.56448;0.270572;406.684;21.2478
2024-06-01;05:00:00;0.635904;3.139;4.11066;0.265625;405.835;18.0859
2024-06-01;05:15:00;0.634482;3.37207;4.34155;0.266466;405.955;15.5573
2024-06-01;05:30:00;1.26633;3.56915;5.5041;0.219526;405.793;17.6679
2024-06-01;05:45:00;0.935038;2.91807;4.34681;0.246526;404.864;16.9755
2024-06-01;06:00:00;0.826576;2.67535;3.93836;0.268902;403.2;15.3244
2024-06-01;06:15:00;1.52647;2.81208;5.14453;0.326397;403.039;15.6928
2024-06-01;06:30:00;1.53328;4.01419;6.35704;0.321025;402.021;18.8953
2024-06-01;06:45:00;0.994261;5.20882;6.72804;0.331825;401.758;21.549
2024-06-01;07:00:00;1.65807;6.50446;9.03799;0.329952;400.357;24.4156
2024-06-01;07:15:00;0.897749;3.84127;5.21304;0.354807;396.182;16.4153
2024-06-01;07:30:00;1.37849;4.35585;6.46219;0.345662;394.493;17.5414
2024-06-01;07:45:00;1.08162;3.33248;4.98518;0.313012;393.469;17.384
2024-06-01;08:00:00;0.910871;2.86977;4.26158;0.305259;393.098;21.1035
2024-06-01;08:15:00;1.60912;3.78029;6.23903;0.330606;393.831;21.9739
2024-06-01;08:30:00;1.27026;4.66951;6.61047;0.307;392.442;14.2048
2024-06-01;08:45:00;1.0314;4.12531;5.7013;0.27992;391.316;20.1513
2024-06-01;09:00:00;1.83178;4.5872;7.38617;0.283232;390.27;14.3552
2024-06-01;09:15:00;1.33525;3.29733;5.3376;0.203498;389.965;18.2922
2024-06-01;09:30:00;1.38786;2.05899;4.17964;0.162335;387.13;9.5412
2024-06-01;09:45:00;2.23871;5.21784;8.6386;0.1844;388.666;16.7606
2024-06-01;10:00:00;1.74665;2.95898;5.62785;0.218989;386.709;24.9793
2024-06-01;10:15:00;1.30799;2.65867;4.65728;0.256832;385.878;17.4224
2024-06-01;10:30:00;1.37975;2.7121;4.82036;0.256208;385.307;23.7692
2024-06-01;10:45:00;1.26296;2.60581;4.53561;0.260768;385.375;7.27036
2024-06-01;11:00:00;1.28614;3.02683;4.99205;0.226882;385.429;14.6099
2024-06-01;11:15:00;1.18402;3.51944;5.32863;0.201343;384.249;22.9757
2024-06-01;11:30:00;1.26051;4.95808;6.88415;0.240403;382.385;21.8633
2024-06-01;11:45:00;1.142;3.02535;4.77034;0.199146;382.422;16.0804
2024-06-01;12:00:00;0.656811;1.98676;2.99037;0.190377;382.232;16.4395
2024-06-01;12:15:00;1.24008;3.02024;4.91508;0.228116;385.856;20.9442
2024-06-01;12:30:00;1.21201;2.0411;3.89304;0.200788;395.346;22.9252
2024-06-01;12:45:00;0.972231;3.6611;5.14667;0.211473;387.01;32.874
2024-06-01;13:00:00;1.45961;2.59208;4.82237;0.242069;379.348;21.831
2024-06-01;13:15:00;1.35726;3.96226;6.03616;0.225687;381.695;23.7383
2024-06-01;13:30:00;1.2701;4.07491;6.01562;0.203498;383.68;16.2748
2024-06-01;13:45:00;0.597824;3.48048;4.39396;0.19551;384.132;13.5139
2024-06-01;14:00:00;1.59808;3.09076;5.53262;0.196119;384.884;20.8306
2024-06-01;14:15:00;1.23918;4.34601;6.23947;0.228893;384.975;24.2622
2024-06-01;14:30:00;1.25276;3.76313;5.67735;0.204686;384.802;23.1672
2024-06-01;14:45:00;1.65092;4.71502;7.23763;0.219998;386.925;20.3323
